nicho,marca,dominio,cor_hex,logo_url
Bancos,Itaú,itau.com.br,#FF6200,https://cdn.brandfetch.io/idAciuyyPp/w/600/h/600/theme/light/logo.webp?c=1bxbdkk0grqdtecj6k9bcv99sx3SiCMmYS5
Bancos,BRADESCO,bradesco.com.br,#ee032c,https://cdn.brandfetch.io/idJ-h_LNzX/w/820/h/683/theme/dark/logo.png?c=1bxbdkk0grqdtecj6k9bcv99sx3SiCMmYS5
Bancos,Santander Brasil,santander.com.br,#ea1d25,https://cdn.brandfetch.io/idex3vA3bq/w/400/h/400/theme/dark/icon.jpeg?c=1bxbdkk0grqdtecj6k9bcv99sx3SiCMmYS5
Bancos,Banco do Brasil,bb.com.br,#FCFC30,https://cdn.brandfetch.io/id07U7q9Is/theme/dark/logo.svg?c=1bxbdkk0grqdtecj6k9bcv99sx3SiCMmYS5
Bancos,Caixa Econômica Federal,caixa.gov.br,#F59700,https://cdn.brandfetch.io/id6KaoEBTQ/theme/light/logo.svg?c=1bxbdkk0grqdtecj6k9bcv99sx3SiCMmYS5
Bancos,Nubank,nubank.com.br,#8a05be,https://cdn.brandfetch.io/idXWQ2eElW/w/1079/h/1079/theme/dark/icon.png?c=1bxbdkk0grqdtecj6k9bcv99sx3SiCMmYS5
Bancos,Inter,inter.co,#FF6E07,https://cdn.brandfetch.io/id-5KRuqcJ/theme/light/logo.svg?c=1bxbdkk0grqdtecj6k9bcv99sx3SiCMmYS5
Bancos,C6 Bank,c6bank.com.br,#FFE45C,https://cdn.brandfetch.io/id9QKeTheX/w/400/h/400/theme/dark/icon.png?c=1bxbdkk0grqdtecj6k9bcv99sx3SiCMmYS5
Bancos,BTG Pactual,btgpactual.com,#195AB4,https://cdn.brandfetch.io/id2okqRkOi/theme/light/logo.svg?c=1bxbdkk0grqdtecj6k9bcv99sx3SiCMmYS5
Bancos,XP Investimentos,xpi.com.br,#ffc60a,https://cdn.brandfetch.io/idHyUc0-yu/theme/dark/logo.svg?c=1bxbdkk0grqdtecj6k9bcv99sx3SiCMmYS5
Bancos,Banco Safra,safra.com.br,#1e2044,https://cdn.brandfetch.io/idajhmk3dJ/theme/light/logo.svg?c=1bxbdkk0grqdtecj6k9bcv99sx3SiCMmYS5
Bancos,Banrisul,banrisul.com.br,#000000,https://cdn.brandfetch.io/idQT_j1bWz/w/187/h/32/theme/dark/logo.png?c=1bxbdkk0grqdtecj6k9bcv99sx3SiCMmYS5
Bancos,Banco PAN,bancopan.com.br,#07B2FD,https://cdn.brandfetch.io/idbyouRHyl/w/400/h/400/theme/dark/icon.jpeg?c=1bxbdkk0grqdtecj6k9bcv99sx3SiCMmYS5
Bancos,Banco Bmg,bancobmg.com.br,#f16321,https://cdn.brandfetch.io/idlvrasljo/w/400/h/400/theme/dark/icon.jpeg?c=1bxbdkk0grqdtecj6k9bcv99sx3SiCMmYS5
Bancos,Sicredi,sicredi.com.br,#64c832,https://cdn.brandfetch.io/id_5MooiHm/w/400/h/400/theme/dark/icon.jpeg?c=1bxbdkk0grqdtecj6k9bcv99sx3SiCMmYS5
Bancos,Sicoob,sicoob.com.br,#00ae9d,https://cdn.brandfetch.io/iduiamk5dj/w/484/h/109/theme/light/logo.png?c=1bxbdkk0grqdtecj6k9bcv99sx3SiCMmYS5
Bancos,Nomad,nomadglobal.com,#ffce00,https://cdn.brandfetch.io/id1GMDX8pf/w/820/h/197/theme/dark/logo.png?c=1bxbdkk0grqdtecj6k9bcv99sx3SiCMmYS5
Bancos,Wise,wise.com,#9FE870,https://cdn.brandfetch.io/idk6fxo1w1/theme/light/logo.svg?c=1bxbdkk0grqdtecj6k9bcv99sx3SiCMmYS5
Bancos,Revolut,revolut.com,#4F55F1,https://cdn.brandfetch.io/idkTaHd18D/theme/light/logo.svg?c=1bxbdkk0grqdtecj6k9bcv99sx3SiCMmYS5
Bancos,Avenue,avenue.us,#4AE077,https://cdn.brandfetch.io/idPJs83kuJ/w/400/h/400/theme/dark/icon.jpeg?c=1bxbdkk0grqdtecj6k9bcv99sx3SiCMmYS5
Bancos,Banco BRB,brb.com.br,#0099e5,https://cdn.brandfetch.io/idhSkOUTYi/w/1080/h/1080/theme/dark/icon.jpeg?c=1bxbdkk0grqdtecj6k9bcv99sx3SiCMmYS5
Bancos,Banco BS2,bancobs2.com.br,#1226aa,https://cdn.brandfetch.io/idbfCY3Bfy/w/145/h/145/theme/dark/logo.png?c=1bxbdkk0grqdtecj6k9bcv99sx3SiCMmYS5
Bancos,Daycoval,daycoval.com.br,#616161,https://cdn.brandfetch.io/id3FG4siM6/w/220/h/34/theme/dark/logo.png?c=1bxbdkk0grqdtecj6k9bcv99sx3SiCMmYS5
Bancos,banco BV,bancobv.com.br,#31c7ed,https://cdn.brandfetch.io/idUQbw8g7n/w/820/h/570/theme/light/logo.png?c=1bxbdkk0grqdtecj6k9bcv99sx3SiCMmYS5
